year,prec,tmax,tmin,tmean,temp_range,tmin_ma10,tmax_ma10
2012,584,26.866666666666664,10.158333333333333,18.5125,16.708333333333332,10.5175,26.564166666666665
2013,546,26.900000000000002,9.933333333333334,18.416666666666668,16.966666666666665,10.521666666666667,26.564166666666665
2014,718,26.183333333333334,10.416666666666666,18.3,15.766666666666666,10.528333333333332,26.615
2015,426,27.275000000000002,10.591666666666667,18.933333333333334,16.683333333333334,10.684166666666666,26.715000000000003
2016,681,27.141666666666666,10.908333333333333,19.025000000000002,16.233333333333334,10.691666666666666,26.6575
2017,649,26.375,10.625,18.5,15.75,10.747499999999999,26.6375
2018,573,26.883333333333336,10.9,18.89166666666667,15.983333333333333,10.807500000000001,26.5625
2019,660,26.941666666666666,12.133333333333333,19.537499999999998,14.808333333333332,10.94,26.53416666666667
2020,602,25.84166666666667,10.841666666666667,18.341666666666665,15.0,11.100833333333334,26.65416666666667
2021,798,25.96666666666667,10.966666666666667,18.466666666666665,15.0,,
2022,761,26.116666666666664,10.758333333333333,18.4375,15.358333333333333,,
2023,577,26.616666666666664,11.258333333333333,18.9375,15.358333333333334,,
2024,459,27.383333333333336,12.025,19.704166666666666,15.358333333333334,,
