date,prec,tmax,tmin
199810,63,26.7,13.3
199811,156,26.9,14.1
199812,150,26.2,14.8
199901,76,28.1,16
199902,41,29.5,15.5
199903,66,28.3,14.7
199904,36,26.5,11.1
199905,30,22.3,7.3
199906,7,21.2,3.3
199907,1,20.5,4.5
199908,1,23.7,5.7
199909,10,25.1,8.7
199910,16,27.3,11.3
199911,41,29,14.8
199912,151,26.8,15.3
200001,182,25.1,14.4
200002,227,25.5,15.8
200003,153,25.3,14.9
200004,55,22.7,9.8
200005,23,20.4,4.8
200006,6,19.8,4
200007,2,19.4,2.1
200008,2,23.7,5.6
200009,35,25.2,9.4
200010,151,27.4,13.3
200011,136,25.8,13
200012,162,26.9,14.7
200101,62,29.5,15
200102,95,26.7,15
200103,54,27,14.1
200104,29,24.4,11
200105,48,22.2,6
200106,5,20.7,3.4
200107,1,19.2,2.5
200108,10,24.3,6.2
200109,39,25.5,9.2
200110,103,27.3,13.6
200111,140,25.4,14
200112,113,26.6,14.9
200201,88,28.4,15.5
200202,71,27.6,15.2
200203,47,28.1,14
200204,27,27.5,10.5
200205,42,23.7,5.4
200206,18,19.4,3
200207,0,20.6,2
200208,25,23.7,7.2
200209,4,26.2,8.9
200210,56,28.8,12.6
200211,20,28.3,12.9
200212,118,27.6,15.1
200301,123,29.7,16.1
200302,108,29.2,16.3
200303,73,28.9,13.4
200304,2,28,11.1
200305,0,23.7,5.7
200306,15,20.4,3
200307,1,21.1,2
200308,4,22.9,4
200309,4,27,9.5
200310,67,29.1,13.4
200311,57,28.8,14.8
200312,54,30,15.6
200401,117,28.9,15
200402,186,28,16
200403,115,26.3,14.5
200404,43,25.6,11.2
200405,11,24.1,6.5
200406,2,20.3,3.2
200407,1,20.3,2.5
200408,2,25.2,7.3
200409,0,26.1,8.4
200410,24,29.3,13.1
200411,81,31,15.8
200412,166,28.5,16
200501,161,28.8,16.5
200502,68,29.5,16.2
200503,66,27,13.4
200504,65,24.5,10.6
200505,1,24.1,7
200506,0,22.6,4.6
200507,0,22.8,3.5
200508,0,25.9,7.3
200509,0,29.6,10.9
200510,21,30.1,13.8
200511,81,28.8,15
200512,72,28,15.2
200601,195,27.7,16.8
200602,151,27.2,16.7
200603,75,25.3,13.6
200604,26,24.7,10.4
200605,2,20.9,4.7
200606,0,20.7,2.8
200607,0,22.7,4.2
200608,18,22,5.5
200609,2,26.7,9
200610,20,29.4,13.8
200611,104,27.8,14.2
200612,145,29.5,15.7
200701,50,29.1,15.5
200702,16,31.4,15.8
200703,17,29.5,14.1
200704,28,26.1,11.5
200705,0,23.9,5.2
200706,22,21,3.1
200707,1,21,2.8
200708,0,24.6,5.1
200709,28,29.3,11.4
200710,154,25.8,12.8
200711,73,28.1,14.5
200712,117,26.7,15.2
200801,199,27.1,15.9
200802,31,29.7,15.3
200803,38,27.1,13.5
200804,12,25.6,8.7
200805,29,23.7,7.6
200806,8,21.5,4
200807,2,21.5,4
200808,0,25.6,7
200809,0,27.9,9.6
200810,34,29.5,13.2
200811,117,28.4,15.2
200812,119,28.9,16
200901,154,28.6,16.6
200902,146,27.5,15.7
200903,67,27.2,13.3
200904,5,26.8,9.9
200905,17,23.3,6.6
200906,30,21.2,4.9
200907,16,20,2.6
200908,10,23.9,5.7
200909,42,28.3,10.5
200910,87,28.3,13.6
200911,172,26.9,12.7
200912,105,29.3,14.8
201001,148,28.1,16.4
201002,97,28.8,15.3
201003,58,28.5,14.2
201004,67,24.7,11.6
201005,45,23.8,7.5
201006,0,20.9,2.1
201007,1,20.8,4.3
201008,0,24.4,5.4
201009,0,29.2,9.9
201010,22,30.4,13.1
201011,102,29.1,14.3
201012,108,28.3,15.1
201101,153,27,16.2
201102,42,28.5,15.2
201103,48,28.7,15.7
201104,143,24.6,10.8
201105,38,23.5,7.3
201106,17,21,2.2
201107,0,20.3,2.1
201108,16,23.9,4.8
201109,1,29.2,9.7
201110,62,29.7,11.8
201111,62,29.5,13.5
201112,110,28.1,15.6
201201,83,30.2,15.7
201202,49,30.6,15.6
201203,71,29.6,13.4
201204,5,26.1,8.6
201205,0,25.2,5.7
201206,1,21.6,3.1
201207,0,21.2,3.9
201208,0,25.1,6.3
201209,42,26.5,8.7
201210,77,28.4,12.5
201211,112,29.3,13.7
201212,144,28.6,14.7
201301,105,29.8,15.7
201302,29,31.2,15
201303,25,29.1,13.7
201304,71,26.6,9
201305,0,24.6,5.3
201306,0,21.4,4
201307,0,21.7,2.9
201308,0,24.3,4.9
201309,3,29,9.2
201310,29,29.2,11.3
201311,121,29,12.9
201312,163,26.9,15.3
201401,91,29.1,17.1
201402,183,28.4,16.2
201403,97,26.6,14.6
201404,40,25.3,9.6
201405,2,24.6,6.4
201406,0,22,2.3
201407,0,21.3,2.4
201408,2,24.2,5.9
201409,0,29,9.6
201410,16,29,12.3
201411,68,26.9,13.2
201412,219,27.8,15.4
201501,60,29.2,15.6
201502,42,29.7,14.2
201503,61,28.7,13.9
201504,54,26,11.2
201505,0,26.5,6.9
201506,11,21.3,3.4
201507,6,22.2,4.4
201508,7,25.1,5
201509,39,27.2,10.3
201510,30,31.4,13.2
201511,63,29,13
201512,53,31,16
201601,66,29.7,16.2
201602,83,30.9,16
201603,102,29.2,14.3
201604,27,26.2,11.2
201605,19,23.1,6.6
201606,9,22.5,4.3
201607,9,21,3.4
201608,2,25.3,5.8
201609,7,28.1,9.9
201610,55,30,12.3
201611,114,29.6,14.8
201612,188,30.1,16.1
201701,120,27.2,15.8
201702,122,27.3,16.8
201703,33,28.3,13.2
201704,51,26.5,10.9
201705,22,24.3,7
201706,2,22.6,3.4
201707,2,22.5,3.9
201708,2,24.3,5.9
201709,6,29.1,10.7
201710,94,27.8,12.4
201711,91,28.4,12.8
201712,104,28.2,14.7
201801,86,29.7,15.3
201802,152,28.4,16.3
201803,69,27.9,14.6
201804,24,26.4,12.1
201805,11,24.1,7.3
201806,2,22.7,3.6
201807,3,21.6,4.3
201808,2,24.5,6.2
201809,11,28.1,8.9
201810,29,29.4,12.5
201811,48,29,13.6
201812,136,30.8,16.1
201901,106,28.6,16.4
201902,76,28.8,16.5
201903,34,29.4,16.7
201904,50,25.7,10.9
